secp256k1,0xd88b5b823ab198782a96c71e8245192a5a2ede28397dab48bf89b30fa725cb58,0x41c49fbc06c69bd3334dc758d07e852a1002da5e2087b61ad6f81079d6e115fd
8e911c5586c994e58a9fe35108136f0c51ac61f8ec492868b5e8234b7f1ae413,-988a4432f0419fe8fb72dac6c1e60e64825c170577964be2d768c49c917e6ef3,16
f5bd795ac19f509892d58808e4f587b19fdfe9b967c5aa60b328e48d758d693,-97a7600cd743cb8417a7fd4c5239fa06a287a76e6f940b69503b05b9fa4de583,16
9bec04b797174e09213a3938f7215b8f1b510a901b70ded2fb1d05d1b30012af,-d6f94373f155ae53566dff6c31b5f98c349ada685a89cf803e9b6274c7f462f4,16
b9c1704c501a24b93cf8aeabce411484ef69a6e5f86ec14a52a654d8b07a70e5,9378250d5f01ef122e7cc9cf3f8bd614f6b6a8718a00e7d7030e348541d2615,16
122f8b5ef0729295fb40a49a0ac6d610b91dc5a5ffb41b99a02395703a033ac1,-6f4966d5b4a4fafaa2daa47ed4b13b9c9f5d426b2ca2d52a124e72e7f13b30f1,16
3f9b5490201f746048c9a537643e9f0091b54c9ca2f4d4a543b2a68fa9adae8,-ad61ab971b16b52e80d8c84ae9ae41d7269dd7a75c3ab2b163850cbb45e09a96,16
b2bd79a96a201ac7b0af87eea30ac2b14540445f3fb3f602e17eb3f3b4dc414c,-5e2622acc7216d7f999d7994324ea4fae5e39465fb28ee9b6f211cde20763902,16
326fbbdc5d68c7d540678a615efbdb1ae8bf717a3228d3323c09d8489fcb5068,9f3b623f7031f62d40be8f24aee9f7132e6c80a0bb2e7531281755826170cb6,16
4228f29735a6025c359e657e4be21e6aaea57c09adcfd18c958706065bd98791,-5482bc4bd8452473f57b70737f55bf1904a508c83c99c79604040926f1681b76,16
a3710e97a96d061f0bd9c78179cc8be4dd012965bb43de6a2f3f401263a0a30f,-1dac38741a15061a52e62b393fb23569ba5381906f465548e8cb52572fbd511d,16
c4927256ac993beee0d12df7e63823a3379256156bb505a22cf7149df97ac7e7,-39f0af672432ccb0292cc180c652b6873e020e3fd6c907b35a4de482e95e91a5,16
a0f274c56d4d005e6c520c5ca115b6183a075a4554b2e2315e8981fe3e998eec,-a35e9852d07362a2005407a0960777b7c413bb67d8625f1107a4935ef3d6d17a,16
175f12cbc9c30ebc6ec4a032dd30fc66a3408917322880aa97d5b83cfa010649,-6afddb034cd93359c0211c9150c47217d92362a2cb9d3d29d117f3b12559759b,16
dfd92c6d001d852784b4fa69556fe8ecba9c138560696c364fb89787c2f5878c,-5f316803ec6403f477359a4fc06725f7da8110bceb9bcf4b949f5a3138ab3f09,16
b3322547f1b6d2d95ae9c0379b7e032cbbd7e7aa34ef1a8c3dccbf5b36460542,-6c8809a530c2479d9525bb9bb638da817b63ba772dab8ca48581207646dfdf34,16
6d5333acf35c9d87798737ad9efcb529cff293337d0e28bd1910521c95ab666f,-2b1f531d9a6f422c100ec5c2bc3462966a2baa726ca15a7864186698d713a957,16
d1771f78fba5d5b33533b67e78c3d758149b27cfb092be3453d2c42c7a13622d,-150aa3ea3630f11502a8b503de9118e809d51aac1f9ecb117a46f752c1b9b6d1,16
2667c321effdc10151e19eabd555fd334dc457dbff87bf6d90be88d97c7629a3,-999464a2acd4328596ca40e43881de8e6d1ab5cbbef449c02ec7a4f704e46a95,16
ba196edabe5ee3cc84d84f23179ec2b970b2ddd1b76aa5ec0edf72912f3f2173,-879969637297f81e27f3819a9bf933aac72242bc841647e71dab405836441d50,16
d294251a8a906ed478d6730d23fee2f092e0137071bd9aa2386daa4ec9b94a04,-a249b72e28f9c007a0f774ebeb7867adc1dad13befa8a9362776a343af34f061,16
7fbefdaa39f8f16befb13bb9476df983a3ed640d4e56876a3056254bc8f11399,-e2bc5b866837d389c4913b1a8c76fb390d46fae43368760ecf53a6807a4e7d3e,16
dba55430e03b99d99f31356fc4806c311bd19aa3e478120167baec2543d6f2a3,-e656f4455e0386b75228f9913360549d04efa0c721b093987261daee12a7dd13,16
33d2ca78ac4ca7d9be437fe26ab4ffde2cfa1b657ee6eeaee075dfc28e418fcd,-1131ab4d9343b4ec2a590f716be8131d4d42f4409c2416d1242b2b813209f559,16
6e6c78c208dee50c2d7e452576e7d7e6b7813c5bd9cbb80bf0e122489dca403f,-3bdd6ebf31993b9566133508c7a5cf25efcf08f4d2bacbfb12b2c64fd6ea0e19,16
16370bda42bcf694ca63fa661ef9c1f9285459b81c6a00d2d4b157e5c8ee2427,113ad44b761da802e79394108ee6e39e76005f3c507547eda663b90c4e946c0b,16
dd8d1096292f2e2bb29d289de3062cb3730481274d68a963b3469d3c1c67d6,-763ac2e7d49f6df23cfd4c3de4e6a5188102e126c0e4ca2065be419076923258,16
d9c487dbcddf6ef420843f2b6a531c5f6df920b6b8a0bd1a74fe6f41e99aae39,-695e648c28a0b6d4abdce9bfd59580aea4ffb72e257155be1bc59d793963aa5d,16
fada03382004e9ce178090a5367060a23a850a1420b27173a1d02bd7eab896a8,-fd9e063d05d462377c7463f9c206eea27c999a9ff6e1dbd555052fb5f4ced6,16
5e631f62af65a537b9c18224508bc3c690b2900737e264cca504b925a9d200d7,-2718082670a69f4b0a3342b9731ca49c26e1a6ef92e7add42cb3f765169c65af,16
dd454619b64f087eb6481264a5d6f48ae0668845891fb6ea3ab649dec624209a,-accd898e2959bd4890b89c235e835e6d8784f463c85b2dc7a54bbce335d859d0,16
f0e33b9e50ac857cfff4a5eaace3fa2260de74e0135020f13be7c9b401672685,-bfa8926b34fdf92c82a2342eda10bace0f5f4cfc64f33bc08cdb435dc6512b3c,16
9386a16e5adc215f799d72524d46c40ca5d873a120a975e8d20c32a21a693602,-8476e6b969da089dbc0ba7f7478d2c012f772c86daeb5ec90ee24169a8e858f9,16
5436ec15ac42fa3b5f7bff8cfb62c4523cfa983c615b813246eb9305ff2b76d1,-1abfa2c9fb9a5e65fc5ab659aa2cfc7badbd540ba802cde65356d50358385771,16
136affca0508fbd8c491e4358fc08d982d808e9e648d130c59dc8fd8c4291b26,-8d249afde0d3277b6d0d86b20c39f05f6bae891869dba05f15cbce5879217e66,16
1e6248b40ab453efbea26202682abdea8d4c4cabfbb9d7d0b4f37b2215e57626,17959e218b2fb8e89800d24350834ef3c5ab9a6428eb3f92aac5975feadd8f4c,16
d40cbb7bc0b15533913dc7095066b60249938012f76ed089d92dd44600d928f9,-62e0d09ed8c86de2ee3a37e02ff9f8ae84971964dc4f9330050550453e710c96,16
f1b2eb520650ea149d6daf63d32d3456ff074c1e10d9123cc8ffa6e2a1fb130c,-14be9fdfbf062475aa6885dff491fdd5fe3d62807fe55914f750f8b18c54f060,16
bfd340b5d5d98c63a72239cde4a1d32efadd5ee5e172ef4f65404db8e5b46bef,-20a35beb7b710f0b908f9ab9d28e72baaa5aaa44c2155349a22ba7e0ff5ed87,16
fd43f2e60888f9f7a502e583db6ffb0e0cbc0c4ffa1c8d8feebb059a69b2cef6,-e5db1a479d9fd8db3144a110d0997ca59327797fb3c630f2816209b64558faae,16
23169bc1bb218ab313e5328ce8a042863f9bc950d4a86fe7ece2b162cdd89825,-b2f3ee271929f401db5e9a4f86c7e7ac424de5dd4c6ae9faffc45f3ec4f3f9f0,16
bc30ba3edd5963869c6ed62337d9dcaca184881eb5c17c78471b7a0b3fe5e164,-73574ba8a03fdee61ef993e7e033719a8df42fc7a92795a9aa5a2b5553ca5485,16
