secp256r1,0xbcffc6ff65f78a770f264e561e3fde75578694dba72d0ad0a2b3137b4e249047,0x362937b3fa35c80165e611f0ca3bb27639d2a6ec4a42804aa39e0139388fef38
6cb69f72c3352e26864420c2cc988b47428c16545e7b0299a3abec10f8276f20,-10bd142ae4b936e20bb0993973bde2c97d441e9f8c8b95b5a7d607b7d38952c6,31
f8b012868a40951cdb79d65a47681a62b1c3ad84593def2e8c480f597bd5a1f4,-a6ef61da152c6845baf1e73edf31527f180e89317405e35e126d3b279f092dd9,31
ad96c69d5b66ce15c9252b0b54f546a2a4c326a00c3362ac98ffb91f2a4bff01,-bc61e89b2c230408d5e3a1714da5df07bddc3aad99db5b03c78120cb6f15f162,31
627459d2b956c9c4009c4ebba47113cb8db169b5ad853cbdc9cea042754461bc,-813c1998ad74f1cc2b6399d3b1fbce7be10025b576cbf35125d4c8123a9b6ee3,31
68ff0b43e9df17a270caefa7a81b6c3cd5902305ca284d2601cd64d95d3b7695,-2b77e9997efad4b4bb23b8793ca9cf934eb6f5d71c7aaa5f2acb75461b566619,31
bf7fca7c0bbb0099a17f349964e0c09c9372bb279f77c2e6cc5f7a488fe5ffcf,-d234f1a47d337cd661634e8ea8b61f32c2c7bdf3e2bf718f1b979e848c318870,31
d28aeeae13263970de5dda2a73fe00462d235e882e0db510332be97734afd01a,-8f31b015b84030b07774adec5f0f64b92d9209fe8f1db2565b5f007a221fb270,31
74a6f89b933fdae1cacb27d8f2abd7f1b0fccbc3f146de298dac133046324be8,-c659d759e8cb33d5f9086aa659ef783e07fc32de57a67a39197e02c74e575549,31
f63413460fec4a2315126f8c4decd4c08dd57377f5f137c5c04d6055944dda85,-b402a5ad6b4c059789cf0a2e2356197cd0208659ab21da2ded75f4d1cfcc6bad,31
aa1d72db89837c6fbc3f899ec184c31661b344806dd2f6c85801256c4ffea580,-95747efd5eaaa0cab25a4346566824a577264e01f5642434d476f0338d53029,31
b0b668884ff549a7d32c2014e420090789f49dd7656e6d0d591247ae1326a18a,-9947be3886adc8e45ebd8e34c032018971c73f1e1a9b9a8e415fb91551a80995,31
c0b7b7a043fa3ebc232c7e7ab9d62e3ebfccca267f21bb5d80799d99bab7ec55,-994381ae5ce9146f107a35015c432b10d0f68221e95881c388b094359a280544,31
d7ac1a9f85d56fc9a8248a505ca7cb7d7cc631e35c83338462816baab2e33a57,-2253583e164316c9eff0895e3642f7b92b12ce517104ada66d6daf21390a8f5a,31
b0dc914d3ef1a4d1e68cf3b768ac6a92fcd068f6d706d526d7d80bdd4feb1942,-3a71dae6886769e2a4abdf4592e44ad30147468f25d2f0c9c5a7a31a705b31b8,31
2fdd296ab0f460307a573186f4c613ecff3bdec54f2e4334e0720e511a006cfa,-9e5d731a707445815e080263a07c8b7828de63827a4ac3d30aec50060ff051aa,31
c9c465fa290d614e71e3866c1e180256ba57ccef4ec6b369c3b0b19f7ed9520d,-ab4de5314e5425d98d6d7d0346dccdb67a4f5d1c13e83d32b6bdaeaff343abe4,31
b95601faf2879302268deb518ecd024a904679fa270d5024cb4998ea5743d285,-25601c6da5b840c89f0c744747409a972b886a69aafb769d5ff533fab7b53c5b,31
33cbc2b89311de5bd82abffc2b3a8d7bc5c5eee55247498f65b4ec3c85d493de,-307bb7d8b18163aefd432ddf127567dba183ba55d3acf2a17e0fb77bd4bb352b,31
